NOMBRE;SEXO;ORIGEN;SIGNIFICADO
ALHELI;F;S/O;S/S
ALHUE;M;S/O;S/S
ALHUECHE;A;S/O;S/S
ALI;M;S/O;S/S
ALIA;F;S/O;S/S
ALIAN;A;S/O;S/S
ALIBAR;M;S/O;S/S
ALICE;F;S/O;S/S
ALICIA;F;GRIEGO;"QUE PROTEJE Y DEFIENDE, AALIS EN LA BORGOÑA MEDIEVAL, ES CONTRACCION DE ""ADALHEIDIS"" EN GERMANICO, VARIACION DEALEJO"
ALIDA;F;S/O;S/S
ALIDE;F;S/O;S/S
ALIDES;M;S/O;S/S
ALIDIA;F;S/O;S/S
ALIHUEN;A;S/O;S/S
ALIK;M;S/O;S/S
ALIKE;F;S/O;S/S
ALIKI;F;S/O;S/S
ALIM;M;S/O;S/S
ALIMA;F;S/O;S/S
ALIN;F;S/O;S/S
ALINA;F;GERMANICO;CONTRACCION DE ADELINA
ALINDA;F;S/O;S/S
ALINE;F;S/O;S/S
ALIPIO;M;S/O;S/S
ALIQUEN;M;S/O;S/S
ALIRA;F;S/O;S/S
ALIS;F;S/O;S/S
ALISON;F;S/O;S/S
ALISSA;F;S/O;S/S
ALISTAIR;M;S/O;S/S
ALISTER;M;S/O;S/S
ALIT;F;S/O;S/S
ALITA;F;S/O;S/S
ALITHIA;F;S/O;S/S
ALIX;F;S/O;S/S
ALIZA;F;S/O;S/S
ALIZE;F;S/O;S/S
ALKUN;M;S/O;S/S
ALLAN;M;S/O;S/S
ALLARD;M;S/O;S/S
ALLEGRA;F;S/O;S/S
ALLEN;M;S/O;S/S
ALLISON;F;S/O;S/S
ALMA;F;LATINO;QUE DA VIDA, QUE ALIMENTA
ALMANDOS;M;S/O;S/S
ALMANZOR;M;S/O;S/S
ALMAQUIO;M;S/O;S/S
ALMENDRA;F;S/O;S/S
ALMIRO;M;S/O;S/S
ALMUDENA;F;S/O;DE LA ADVOCACION MADRILEÑA DE LA VIRGEN MARIA, NUESTRA SRADE ALMUDENA
ALODIA;F;S/O;S/S
ALODIE;F;S/O;S/S
ALOIS;M;S/O;S/S
ALOISIO;M;S/O;S/S
ALOIZ;M;S/O;S/S
ALOJZ;M;S/O;S/S
ALOMAI;F;S/O;S/S
ALON;M;S/O;S/S
ALONA;F;S/O;S/S
ALONDRA;F;S/O;S/S
ALONSO;M;GERMANICO;"HOMBRE LISTO PARA EL COMBATE, VARIANTEDE ""ALFONSO"""
ALOYSIA;F;S/O;S/S
ALPHONSE;M;S/O;S/S
ALPINIANO;M;S/O;S/S
ALSACIA;F;S/O;S/S
ALSTON;M;S/O;S/S
ALTAGRACIA;F;S/O;S/S
ALTAIR;F;S/O;NOMBRE DE UNA ESTRELLA DE PRIMERA MAGNITUD
ALTEA;F;S/O;S/S
ALTER;M;S/O;S/S
ALTHEA;F;S/O;S/S
ALTON;M;S/O;S/S
ALUEL;M;S/O;S/S
ALUEN;A;S/O;S/S
